date,title,link,content
Sat Apr 17,Visiting allowed only with prior permission-Notification-reg.,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=B0U3rCn4fE4wYMV7CjJOr4sLZDdYB9UlTL8pjBhojjw%3D&announcementId=SRdxQft0%2FQAxEhPkCnkp4dgH91jd%2Fl78kbNZMzcemzg%3D&fileName=Notification-Visit.pdf&downloadType=qf9KlYfJbVVzYqohYSj4CNnH73BfaWvrydzQ994LPtQ%3D', 'text': 'Notification'}]"," Visiting the university is allowed only with prior permission. Please find the notification attached herewith."
Fri Apr 16,"Detailed Time Table of B.Des S.1(R,S) Examinations, December 2020 - Notification - reg:","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=J0UxHUchCJflNE18CDdhfGJ4NknOb%2BmsObrKuedVNys%3D&announcementId=eXD1wV1jokwGSwQv7a7x2q8TqYvhcPl3oaVI%2BkdsFvU%3D&fileName=KTU-EX-II--1-5300-2018(1).pdf&downloadType=orLPuOOD3A9RtoUcuUgj0CSdHZMW%2BJMKeT171UX%2B8Kg%3D', 'text': 'Notification'}]","                        				                        				                        				                            				"
Fri Apr 16,Time duration regarding the conduct of 1st Semester B.Arch/B.Des/BHMCT/ M.Arch/M.Plan/MCA (Regular/Integrated) Regular and Supplementary Examinations December 2020 - Notification - reg.,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=t2HAngfsj92KIRoh%2FlGelpT%2B4B1x8Hn7qLsU%2BUuvbN4%3D&announcementId=4tV4no0G1P9w4G8WfehR%2FuUHD3Igmnf6Wxeu9ySGNyE%3D&fileName=KTU-EX-II--1-5300-2018(2).pdf&downloadType=h%2BL1eKofdtcOdcdLJnB76RGqg8KiSMFYV7t3WtLWxyM%3D', 'text': 'Notification'}]"," It is notified to the attention of all concerned that the First semester B.Arch / B.Des / BHMCT/ M.Arch / M.Plan /MCA (Regular/Integrated) 2020 scheme Regular and Supplementary December 2020 Examinations scheduled tobegin from 19.04.2021 (Monday) onwards will be held from 9.30 am to 12.30 pm."
Thu Apr 15,"Detailed Time Table of B.Tech S1(R,S) Examinations, December 2020 (2019 scheme) (including PTDC) - Notification - reg.","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=kzVb7rvwpketpalKlnE83dvjCa%2FkafiIA2PcahLBw6k%3D&announcementId=cUeCIZzjSn562qWlJgxHLPabMPW2F7KYaFWhSeE8CZQ%3D&fileName=KTU-EX-II--1-5300-2018.pdf&downloadType=9kh5cIDEuZnzpKXcYDFCTikT9X457vkozp02aIdNooA%3D', 'text': 'Notification'}]","                        				                        				                        				                            				"
Thu Apr 15,Research and Publication Ethics,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=%2BMwrzubEVz5mNgKwM3MndRp9TH4y2bxbPLdzdv%2FMyhs%3D&announcementId=pOmOwr0srgILk%2BN8E29JyZrZjQuH18javJesiS9A6z8%3D&fileName=NoticeonReserchPublicationandEthics.pdf&downloadType=%2BrqNG0D4ccw2%2Fs9KAj14JTWePXyjQKtt5ngPbl7Cb0s%3D', 'text': 'Notice'}]"," The Course Code, Evaluation plan and the Question paper pattern for the Ph.D. specific course - Research and Publication Ethics - is created.Please see the attachment for details.Dean (Research)"
Thu Apr 15,"Academic- Request for B.Tech(Honours) Degree , submitted by 19 B.Tech students of 2016-20 batch Civil Engineering of Government Engineering College, Kannur - Sanctioned Credits earned - Orders issued.","[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=yR0%2F%2Fldb97p%2Fl0yS62wXKXS7P%2FnyvevvXnHdqXiHB%2BM%3D&announcementId=fgH%2BZqBYk9AiG%2FNOI%2FRYj6QdsxcAWtHYvsaYKVs0BIg%3D&fileName=U.ONo.6322021KTUdated14042021.pdf&downloadType=ToTIKxQfk0uz0oCWngbwUZJCbuBENoj3fsZLTT7ySDc%3D', 'text': 'Circular'}]","                        				                        				                        				                            				"
Wed Apr 14,There is no change in  University examinations already scheduled.,[]," There is no change in  University examinations already scheduled. All examinations will be conducted as per the published  time tables.
                        				                        				                        			
"
Tue Apr 13,"Session on ""Fulbright Fellowship Opportunities for Faculty Members, Researchers and Academic Administrators""","[{'url': ' https://tinyurl.com/ktufulbright', 'text': 'Registration Link'}, {'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=%2BOYAs%2Fk%2F01G7VaoJv6gXmTW3JKGeWn3dUOgF7SQaCyQ%3D&announcementId=DaS4xwWvzvjDbHJtzWaGf2zOyLKGHkZ3PcHbZFEOrPk%3D&fileName=Flyer_Fulbright_Session_ktu.pdf&downloadType=NL7sh10fyXyFAoIb3Iv7%2FjNoyRhmcY%2BWmiLIeZOBCFQ%3D', 'text': 'Details'}]","Dr. Shalij P.R.,Dean Research,APJ Abdul Kalam Technological University
Dr. Rajasree M.S,Honorable Vice Chancellor,APJ Abdul Kalam Technological University
Ms. Maya Sundararajan,Regional Officer,United States - India Educational Foundation (USIEF)"
Mon Apr 12,"Examination centre change request submission  for B.Tech S1 (R,S) Exam Dec 2020 (2019 scheme)  is extended till 13/04/2021",[]," The examination centre change request submission from students login  for B.Tech S1 (R,S) Exam Dec 2020 (2019 scheme)  is extended till 13/04/2021
                        				                        				                        			
"
Mon Apr 12,CERD Student Project - Shortlisted projects for presentation,"[{'url': 'https://ktu.edu.in/eu/att/attachments.htm?download=file&id=ixnaUb966YCueqVwLOzkU1KQwFhfTBcWwzNxuTR%2FfVw%3D&announcementId=YpPHhfjCJWkmOMLc%2BPAq0ysiGLR42gI4I7biuFHFMXw%3D&fileName=SPLISTPUBLISH.pdf&downloadType=%2FOVJBqPouYb6kWybUeiq4WOn9kYCqRrnaPAtab7Nyz4%3D', 'text': 'SP proposals'}]"," List of Student Project (SP) proposals selected for presentation and Schedule of presentation."
